Key,OT,NT
"Ash Wednesday","Gen 1:1-19","Mark 1:1-13"
"Ash Thursday","Gen 1:20-2:3","Mark 1:14-28"
"Ash Friday","Gen 2:4-25","Mark 1:29-45"
"Ash Saturday","Gen 3:1-24","Mark 2:1-17"
"Lent 1 Sunday","Gen 4:1-26","Mark 2:18-28"
"Lent 1 Monday","Gen 6:1-7:5","Mark 3:1-19"
"Lent 1 Tuesday","Gen 7:11-8:12","Mark 3:20-35"
"Lent 1 Wednesday","Gen 8:13-9:17","Mark 4:1-20"
"Lent 1 Thursday","Gen 11:27-12:20","Mark 4:21-41"
"Lent 1 Friday","Gen 13:1-18","Mark 5:1-20"
"Lent 1 Saturday","Gen 15:1-21","Mark 5:21-43"
"Lent 2 Sunday","Gen 16:1-17:22","Mark 6:1-13"
"Lent 2 Monday","Gen 18:1-15","Mark 6:14-34"
"Lent 2 Tuesday","Gen 21:1-21","Mark 6:35-56"
"Lent 2 Wednesday","Gen 22:1-19","Mark 7:1-23"
"Lent 2 Thursday","Gen 24:1-31","Mark 7:24-37"
"Lent 2 Friday","Gen 24:32-67","Mark 8:1-21"
"Lent 2 Saturday","Gen 27:1-29","Mark 8:22-38"
"Lent 3 Sunday","Gen 27:30-28:22","Mark 9:1-13"
"Lent 3 Monday","Gen 29:1-30","Mark 9:14-32"
"Lent 3 Tuesday","Gen 35:1-29","Mark 9:33-50"
"Lent 3 Wednesday","Gen 37:1-36","Mark 10:1-12"
"Lent 3 Thursday","Gen 39:1-23","Mark 10:13-31"
"Lent 3 Friday","Gen 40:1-23","Mark 10:32-52"
"Lent 3 Saturday","Gen 41:1-27","Mark 11:1-19"
"Lent 4 Sunday","Gen 41:28-57","Mark 11:20-33"
"Lent 4 Monday","Gen 42:1-38","Mark 12:1-12"
"Lent 4 Tuesday","Gen 43:1-28","Mark 12:13-27"
"Lent 4 Wednesday","Gen 44:1-34","Mark 12:28-44"
"Lent 4 Thursday","Gen 45:1-28","Mark 13:1-23"
"Lent 4 Friday","Gen 47:1-31","Mark 13:24-37"
"Lent 4 Saturday","Gen 49:29-50:26","Mark 14:1-11"
"Lent 5 Sunday","Ex 1:1-22","Mark 14:12-31"
