Key,OT,NT
"Ash Wednesday","Genesis 1:1-19","Mark 1:1-13"
"Ash Thursday","Genesis 1:20-2:3","Mark 1:14-28"
"Ash Friday","Genesis 2:4-25","Mark 1:29-45"
"Ash Saturday","Genesis 3:1-24","Mark 2:1-17"
"Lent 1 Sunday","Genesis 4:1-26","Mark 2:18-28"
"Lent 1 Monday","Genesis 6:1-7:5","Mark 3:1-19"
"Lent 1 Tuesday","Genesis 7:11-8:12","Mark 3:20-35"
"Lent 1 Wednesday","Genesis 8:13-9:17","Mark 4:1-20"
"Lent 1 Thursday","Genesis 11:27-12:20","Mark 4:21-41"
"Lent 1 Friday","Genesis 13:1-18","Mark 5:1-20"
"Lent 1 Saturday","Genesis 15:1-21","Mark 5:21-43"
"Lent 2 Sunday","Genesis 16:1-9, 15-17:22","Mark 6:1-13"
"Lent 2 Monday","Genesis 18:1-15","Mark 6:14-34"
"Lent 2 Tuesday","Genesis 21:1-21","Mark 6:35-56"
"Lent 2 Wednesday","Genesis 22:1-19","Mark 7:1-23"
"Lent 2 Thursday","Genesis 24:1-31","Mark 7:24-37"
"Lent 2 Friday","Genesis 24:32-52, 61-67","Mark 8:1-21"
"Lent 2 Saturday","Genesis 27:1-29","Mark 8:22-38"
"Lent 3 Sunday","Genesis 27:30-45; 28:10-22","Mark 9:1-13"
"Lent 3 Monday","Genesis 29:1-30","Mark 9:14-32"
"Lent 3 Tuesday","Genesis 35:1-29","Mark 9:33-50"
"Lent 3 Wednesday","Genesis 37:1-36","Mark 10:1-12"
"Lent 3 Thursday","Genesis 39:1-23","Mark 10:13-31"
"Lent 3 Friday","Genesis 40:1-23","Mark 10:32-52"
"Lent 3 Saturday","Genesis 41:1-27","Mark 11:1-19"
"Lent 4 Sunday","Genesis 41:28-57","Mark 11:20-33"
"Lent 4 Monday","Genesis 42:1-34, 38","Mark 12:1-12"
"Lent 4 Tuesday","Genesis 43:1-28","Mark 12:13-27"
"Lent 4 Wednesday","Genesis 44:1-18, 32-34","Mark 12:28-44"
"Lent 4 Thursday","Genesis 45:1-20, 24-28","Mark 13:1-23"
"Lent 4 Friday","Genesis 47:1-31","Mark 13:24-37"
"Lent 4 Saturday","Genesis 49:29-50:7, 14-26","Mark 14:1-11"
"Lent 5 Sunday","Exodus 1:1-22","Mark 14:12-31"
"Lent 5 Monday","Exodus 2:1-22","Mark 14:32-52"
"Lent 5 Tuesday","Exodus 2:23-3:22","Mark 14:53-72"
"Lent 5 Wednesday","Exodus 4:1-18","Mark 15:1-15"
"Lent 5 Thursday","Exodus 4:19-31","Mark 15:16-32"
"Lent 5 Friday","Exodus 5:1-6:1","Mark 15:33-47"
"Lent 5 Saturday","Exodus 7:1-25","Mark 16:1-20"
"Palm Sunday","Exodus 8:1-32","Hebrews 1:1-14"
"Holy Week Monday","Exodus 9:1-28","Hebrews 2:1-18"
"Holy Week Tuesday","Exodus 9:29-10:20","Hebrews 3:1-19"
"Holy Week Wednesday","Exodus 10:21-11:10","Hebrews 4:1-16"
"Maundy Thursday","Exodus 12:1-28","Hebrews 5:1-14"
"Good Friday","Exodus 12:29-32; 13:1-16","Hebrews 6:1-20"
